startingAirport,destinationAirport,nStops,totalTravelDistance,travelDurationMinutes
ATL,BOS,0,947.0,157.57206703910614
ATL,BOS,1,1018.1621564282683,403.08613455282637
ATL,BOS,2,993.8656330749354,598.0490956072351
ATL,CLT,0,228.0,77.44489750321175
ATL,CLT,1,1124.9162158210265,421.77891504605935
ATL,CLT,2,1235.2193798449612,586.8027131782945
ATL,DEN,0,1207.0,197.18928495499964
ATL,DEN,1,1752.0071679800544,493.3568852677975
ATL,DEN,2,1752.1393034825871,783.7126865671642
ATL,DFW,0,725.0,139.27293190770962
ATL,DFW,1,1229.663935059915,392.4679551604175
ATL,DFW,2,943.9611650485436,528.1116504854369
ATL,DTW,0,604.0,114.43192112976286
ATL,DTW,1,1109.5346341785526,406.73821315372425
ATL,DTW,2,1222.7337278106509,703.6627218934912
ATL,DTW,3,1061.6063829787233,592.5904255319149
ATL,EWR,0,762.0,136.6716027418764
ATL,EWR,1,918.8637960678777,347.2117814158631
ATL,EWR,2,1283.14,727.36
ATL,IAD,0,541.0,106.37649815265387
ATL,IAD,1,712.0940606361829,331.9669483101392
ATL,IAD,2,1079.3333333333333,687.9444444444445
ATL,IAD,3,1194.857142857143,665.775
ATL,JFK,0,762.0,140.83017257149825
ATL,JFK,1,1102.6262626262626,435.9517884155565
ATL,JFK,2,1059.4569360675512,540.3312424607961
ATL,LAX,0,1937.971387769674,286.2847962462386
ATL,LAX,1,2148.976641467765,530.1579461479657
ATL,LAX,2,2060.5884476534297,792.0
ATL,LAX,3,2352.0,1271.0
ATL,LGA,0,762.0,139.27462431693988
ATL,LGA,1,983.3531892085045,373.4062533500089
ATL,LGA,2,932.1914893617021,538.8085106382979
ATL,LGA,3,1348.0,669.0
ATL,MIA,0,596.0,115.20716787654196
ATL,MIA,1,1702.438505952685,516.4819886566859
ATL,MIA,2,1563.2790697674418,786.6976744186046
ATL,OAK,1,2377.5128868360275,576.3582448036951
ATL,OAK,2,2455.034838787586,785.4054462021495
ATL,OAK,3,1955.111111111111,1085.6296296296296
ATL,ORD,0,600.0,129.3548330404218
ATL,ORD,1,1286.17033561891,429.70062380780536
ATL,ORD,2,1090.4827586206898,712.6436781609195
ATL,ORD,3,901.8037889039242,551.7970230040595
ATL,PHL,0,669.7232454261764,123.5945052927859
ATL,PHL,1,1047.6292250283923,394.38872965226324
ATL,PHL,2,915.033203125,503.44921875
ATL,PHL,3,992.0,686.6666666666666
ATL,SFO,0,2135.0,309.66029047113
ATL,SFO,1,2573.204553749403,616.5360902888907
ATL,SFO,2,2406.95813510942,798.7455756422455
BOS,ATL,0,947.0,171.03804684595366
BOS,ATL,1,1046.6202676562316,402.55359046227943
BOS,ATL,2,963.9960552268244,680.6666666666666
BOS,CLT,0,728.0,145.18842259363183
BOS,CLT,1,794.9613016710642,352.5071725351045
BOS,CLT,2,1019.626582278481,565.078250863061
BOS,DEN,0,1763.0,276.16219839142093
BOS,DEN,1,1932.4266083960163,525.650775307812
BOS,DEN,2,1927.6958433253396,777.074340527578
BOS,DFW,0,1556.0,258.11802138129985
BOS,DFW,1,1669.0187546501784,471.2761372091233
BOS,DFW,2,1734.6535947712418,684.3376906318083
BOS,DTW,0,622.0,133.3593597501464
BOS,DTW,1,801.6107378469583,378.25689356398016
BOS,DTW,2,993.21875,662.0345982142857
BOS,EWR,0,185.0,90.03061269827165
BOS,EWR,1,1377.4370658808673,467.67354241212377
BOS,EWR,2,1265.3333333333333,532.375
BOS,IAD,0,406.0,96.29510576524264
BOS,IAD,1,756.3552610986488,368.6314883405498
BOS,IAD,2,516.0909090909091,539.9090909090909
BOS,IAD,3,342.0,501.6371681415929
BOS,JFK,0,185.0,80.70459871118922
BOS,JFK,1,585.1155417234002,427.88659793814435
BOS,JFK,2,494.1406844106464,434.893536121673
BOS,LAX,0,2606.0,379.1433944336672
BOS,LAX,1,2743.273509334076,618.0647638618
BOS,LAX,2,2689.5248226950353,880.9775413711584
BOS,LGA,0,185.0,84.17115630848025
BOS,LGA,1,807.6712052693669,357.4924793550924
BOS,LGA,2,944.1446540880503,721.730607966457
BOS,MIA,0,1260.0,214.45848196143947
BOS,MIA,1,1325.814860293777,444.88239655252306
BOS,MIA,2,1398.4887640449438,726.4831460674158
BOS,OAK,1,2939.119274068323,658.9984472049689
BOS,OAK,2,3091.0538001060845,897.3245434568463
BOS,OAK,3,2275.0,1317.0
BOS,ORD,0,862.0,174.87201855414702
BOS,ORD,1,990.2380591798695,417.869582945014
BOS,ORD,2,980.1854838709677,664.3548387096774
BOS,PHL,0,280.0,98.02528922737051
BOS,PHL,1,345.9378971925026,371.91794706781434
BOS,PHL,2,724.0,558.5
BOS,SFO,0,2698.0,403.1831842576029
BOS,SFO,1,2855.605588937957,654.1532131566881
BOS,SFO,2,2941.215641609719,791.0493545937737
CLT,ATL,0,228.0,75.12271041690077
CLT,ATL,1,1123.9632794600284,409.8188742336987
CLT,ATL,2,1204.2570607946386,605.9181426519866
CLT,BOS,0,728.0,133.90144643294926
CLT,BOS,1,774.6081938325991,340.0577533039648
CLT,BOS,2,1013.1912368781378,540.1246006389777
CLT,DEN,0,1346.0,217.4345334630771
CLT,DEN,1,1770.597168976703,472.45753465054554
CLT,DEN,2,1751.5955487336914,691.8656945510361
CLT,DFW,0,930.0,166.64841752622763
CLT,DFW,1,1277.9944008385958,385.5767136246261
CLT,DFW,2,975.235077376566,515.6588061901252
CLT,DFW,3,1140.8033444816053,693.7114827201784
CLT,DTW,0,505.0,106.91530652866243
CLT,DTW,1,953.2933631247931,355.8018867924528
CLT,DTW,2,1149.0265863169088,734.5179014533853
CLT,EWR,0,545.0,112.86561015595443
CLT,EWR,1,1008.2681008283178,355.03974733329363
CLT,EWR,2,942.7136752136752,620.0242165242165
CLT,IAD,0,327.0,87.26020674532735
CLT,IAD,1,794.7571017826338,315.5105232892467
CLT,IAD,2,887.5681818181819,594.3116883116883
CLT,JFK,0,545.0,119.03088284659282
CLT,JFK,1,812.206346749226,363.2973168214654
CLT,JFK,2,940.704512135527,547.3593419123636
CLT,LAX,0,2119.292974408498,306.36154031868665
CLT,LAX,1,2462.755597111838,558.1180544733606
CLT,LAX,2,2286.9259818731116,760.4456193353475
CLT,LAX,3,2604.0,947.0
CLT,LGA,0,545.0,108.73689151133163
CLT,LGA,1,740.6830144228006,326.81210136183415
CLT,LGA,2,1281.125,692.1785714285714
CLT,MIA,0,652.0,122.47862586987739
CLT,MIA,1,1074.666393788296,378.2495596735382
CLT,MIA,2,1652.0,582.1652173913044
CLT,OAK,1,2333.4431885782274,559.0118976799524
CLT,OAK,2,2634.553384677746,804.2154843940008
CLT,OAK,3,1580.4466019417475,1276.6699029126214
CLT,ORD,0,592.0,133.01983819908548
CLT,ORD,1,1135.7812405537754,388.5798017048546
CLT,ORD,2,696.5555555555555,363.8425925925926
CLT,ORD,3,732.8768704574604,703.4159897392047
CLT,PHL,0,450.65052498189715,99.77914554670528
CLT,PHL,1,917.1622920252438,372.57881526104416
CLT,PHL,2,795.3061224489796,540.8112244897959
CLT,PHL,3,778.0,655.0
CLT,SFO,0,2292.0,329.63141683778235
CLT,SFO,1,2717.0312148217636,602.7334193245779
CLT,SFO,2,2582.5170209603093,787.3616768247362
CLT,SFO,3,2710.0,900.0
DEN,ATL,0,1207.0,176.37676330899552
DEN,ATL,1,1759.8934216594691,463.24133160035217
DEN,ATL,2,1711.006711409396,725.5234899328859
DEN,ATL,3,1182.0,501.8333333333333
DEN,BOS,0,1763.0,236.65315718763995
DEN,BOS,1,1950.3874372243608,475.34723532260944
DEN,BOS,2,1932.7484964461455,741.0311645708038
DEN,CLT,0,1346.0,199.87802537583966
DEN,CLT,1,1788.8738781992097,449.81940392214796
DEN,CLT,2,1770.497487437186,663.1256281407035
DEN,DFW,0,650.0,120.28221685664552
DEN,DFW,1,1480.2239221140474,412.90921032297945
DEN,DFW,2,918.0,805.0
DEN,DTW,0,1142.0,168.57350669412978
DEN,DTW,1,1721.5449087642999,469.2418927862343
DEN,DTW,2,1599.5671641791046,835.6029850746269
DEN,DTW,3,1433.0,511.94736842105266
DEN,EWR,0,1621.0,226.20407962160033
DEN,EWR,1,1907.1241111067457,449.84547990413705
DEN,EWR,2,1947.5166163141994,751.9395770392749
DEN,IAD,0,1473.0,201.01993355481727
DEN,IAD,1,1759.812033436145,442.7448482410263
DEN,IAD,2,1849.3752556237218,677.0388548057259
DEN,IAD,3,1519.0,561.9714285714285
DEN,JFK,0,1621.0,232.3241958041958
DEN,JFK,1,2023.798908728139,585.3881751735652
