startingAirport,destinationAirport,number_of_transits,averageTravelDistance,averageTravelDuration
DFW,PHL,0,1298.0,11768.604006651358
DFW,PHL,1,1529.7242068191756,27592.332162012208
DFW,PHL,2,1487.48347107438,44355.371900826445
DFW,SFO,0,1468.0,13659.236180904523
DFW,SFO,1,1741.077047595797,27876.08631430223
DFW,SFO,2,1779.486400462963,43007.664930555555
DTW,ATL,0,604.0,7153.342690321132
DTW,ATL,1,1099.2270178756582,25351.65992894769
DTW,ATL,2,1212.7563025210084,36355.966386554624
DTW,ATL,3,944.9966666666667,40128.4
DTW,BOS,0,622.0,6826.562694946974
DTW,BOS,1,805.0530241418837,23199.276007215874
DTW,BOS,2,949.6956043956044,38034.857142857145
DTW,CLT,0,505.0,6587.115338882283
DTW,CLT,1,948.3997112717357,22896.564473798055
DTW,CLT,2,1163.1003735990037,43257.175591531755
DTW,CLT,3,1037.0,41143.07514450867
DTW,DEN,0,1142.0,11608.916624040921
DTW,DEN,1,1637.141525230833,29266.32178110815
DTW,DEN,2,1434.2330185805665,39971.05696009747
DTW,DFW,0,995.0,10438.777488934167
DTW,DFW,1,1408.9261401161496,28282.061991383438
DTW,DFW,2,1427.018018018018,43630.27027027027
DTW,DFW,3,1011.0,40283.00613496933
DTW,EWR,0,485.0,6370.666411336652
DTW,EWR,1,945.719367002327,26730.950021330358
DTW,EWR,2,1069.0048076923076,40987.78846153846
DTW,IAD,0,391.0,5364.005545286506
DTW,IAD,1,832.9703771638198,19199.44154370034
DTW,IAD,2,1079.591304347826,45374.34782608696
DTW,IAD,3,1190.0,34860.0
DTW,JFK,0,485.19708443341625,6566.127985354082
DTW,JFK,1,768.9226092931261,26332.985102078354
DTW,JFK,2,1011.6579131652661,32874.83718487395
DTW,LAX,0,1985.0,17595.26821192053
DTW,LAX,1,2359.9236513564274,33919.42270245504
DTW,LAX,2,2287.926563916591,48107.05349048051
DTW,LGA,0,485.0,6477.9537090046615
DTW,LGA,1,811.9881320042805,20906.921275884088
DTW,LGA,2,1060.25,32295.0
DTW,MIA,0,1153.0,10954.727396329028
DTW,MIA,1,1478.7990661315835,26903.17101584343
DTW,MIA,2,1531.1626157407406,42297.84722222222
DTW,OAK,0,2072.0,17971.70731707317
DTW,OAK,1,2268.856676348496,38804.252080014165
DTW,OAK,2,2482.3501478052817,46974.30907396424
DTW,ORD,0,240.0,5261.325705640395
DTW,ORD,1,1200.2121458087368,24849.085005903187
DTW,ORD,2,1257.2941176470588,41805.882352941175
DTW,ORD,3,871.578947368421,40065.78947368421
DTW,PHL,0,447.0,5940.906601189914
DTW,PHL,1,901.3160378306427,26617.243529569532
DTW,PHL,2,941.5200764818355,35281.032504780116
DTW,PHL,3,842.0,39720.0
DTW,SFO,0,2083.0,18345.98272138229
DTW,SFO,1,2484.169490618103,35482.339614421086
DTW,SFO,2,2474.5695139027807,48361.860372074414
EWR,ATL,0,762.0,8538.589796764827
EWR,ATL,1,909.6227088642315,24222.757259001162
EWR,ATL,2,1291.235294117647,39788.82352941176
EWR,BOS,0,185.0,4841.634989048258
EWR,BOS,1,1301.3355865704257,27696.077170418008
EWR,BOS,2,1265.8993710691823,36681.1320754717
EWR,CLT,0,545.0,7122.472785379007
EWR,CLT,1,998.164979731992,23292.531018173573
EWR,CLT,2,967.0397877984085,37416.02122015915
EWR,DEN,0,1621.0,15703.963419483101
EWR,DEN,1,1859.127828413235,29282.116455967433
EWR,DEN,2,1927.681434599156,46171.26582278481
EWR,DFW,0,1380.0,13897.655504525796
EWR,DFW,1,1540.805008929854,27933.659195375065
EWR,DFW,2,1627.2730769230768,43957.61538461538
EWR,DTW,0,485.0,7281.223526409798
EWR,DTW,1,954.5510388365943,26867.84528336889
EWR,DTW,2,1055.1642512077294,38068.40579710145
EWR,IAD,0,221.0,5121.417004048583
EWR,IAD,1,934.3947812537197,23516.926916722325
EWR,IAD,2,1117.5364806866953,42045.321888412014
EWR,LAX,0,2458.0,21650.77613615111
EWR,LAX,1,2604.798677026892,35649.8793256433
EWR,LAX,2,2743.61011342155,47552.97731568998
EWR,LGA,0,185.0,4982.857142857143
EWR,LGA,1,,31140.0
EWR,MIA,0,1104.0,11423.915743991358
EWR,MIA,1,1427.7336939243778,25882.726015340122
EWR,MIA,2,1337.3225806451612,41240.645161290326
EWR,OAK,1,2855.2647557847804,41078.767024292625
EWR,OAK,2,3036.0452852381886,55119.06298600311
EWR,ORD,0,720.0,9485.462066588147
EWR,ORD,1,904.3958426604696,26311.398058252427
EWR,ORD,2,1316.21875,46912.5
EWR,ORD,3,1212.838,29969.52
EWR,PHL,0,97.42365887207703,2959.5873452544706
EWR,PHL,1,1059.6586807934355,26796.987906976745
EWR,PHL,2,1039.7263631815908,33614.34717358679
EWR,SFO,0,2566.0,22554.404761904763
EWR,SFO,1,2737.0685047789507,37017.123576292404
EWR,SFO,2,2869.0916561314793,45496.34639696586
IAD,ATL,0,541.0,6630.496299521114
IAD,ATL,1,687.8783538041105,19598.86806254
IAD,ATL,2,1020.6666666666666,41740.0
IAD,ATL,3,1193.764705882353,41988.82352941176
IAD,BOS,0,408.65920684548297,5914.151719598486
IAD,BOS,1,776.5201790560582,22527.027884331663
IAD,BOS,2,749.1764705882352,40182.35294117647
IAD,BOS,3,490.0,40801.96428571428
IAD,CLT,0,327.0,5368.023499790181
IAD,CLT,1,783.4152389680924,18773.053144016227
IAD,CLT,2,734.8396226415094,37216.19047619047
IAD,DEN,0,1473.0,13884.48449891853
IAD,DEN,1,1755.043303823924,29103.81482669154
IAD,DEN,2,1869.648452929559,42652.692560895324
IAD,DFW,0,1177.0,11787.392169873921
IAD,DFW,1,1397.6227636066876,25493.43708803281
IAD,DFW,2,1442.5466377440348,41643.51409978308
IAD,DTW,0,392.50350942002217,5722.558182489841
IAD,DTW,1,859.4844649630834,20641.99146514936
IAD,DTW,2,1202.7375,41081.8125
IAD,DTW,3,1173.0,41580.0
IAD,EWR,0,221.0,5001.080341880342
IAD,EWR,1,922.5190424252218,23826.67025745987
IAD,EWR,2,962.0266666666666,40102.2
IAD,JFK,0,221.0,5118.877439158079
IAD,JFK,1,731.8642804949188,25775.422308188266
IAD,JFK,2,846.4009173232977,34020.95260496296
IAD,JFK,3,527.0,47182.10526315789
IAD,LAX,0,2295.0,20101.927409261578
IAD,LAX,1,2516.0266101862203,33851.141794129806
IAD,LAX,2,2534.920025057423,50240.00835247442
IAD,LGA,0,222.3181886115678,5198.87311313705
IAD,LGA,1,872.0568179833372,23777.651127451838
IAD,LGA,2,965.1607161831898,37338.94485176921
IAD,MIA,0,923.0,10178.097686375322
IAD,MIA,1,1235.8412422821918,24286.642752089538
IAD,MIA,2,1075.2341710500682,40186.99006428989
IAD,OAK,0,2426.0,21487.5
IAD,OAK,1,2676.1987965485923,37834.43460490463
IAD,OAK,2,2890.3339157322766,52485.7882649615
IAD,OAK,3,1838.1690140845071,63136.05633802817
IAD,ORD,0,594.0,7706.887206058191
IAD,ORD,1,884.5449387679568,21297.272727272728
IAD,ORD,2,857.0463469584809,38961.396845831994
IAD,ORD,3,951.1259320629661,39729.842584921294
IAD,PHL,0,2426.0,21487.5
IAD,PHL,1,826.3614468407278,21051.84761319559
IAD,PHL,2,580.8867929739284,41463.49977905435
IAD,SFO,0,2426.0,21107.71096954359
IAD,SFO,1,2663.4637680458363,36490.43335901387
IAD,SFO,2,2756.0905013615247,50122.931283037
IAD,SFO,3,1971.0,68400.0
JFK,ATL,0,762.0,9226.989300088348
JFK,ATL,1,1097.7368901698046,25902.65625
JFK,ATL,2,1053.7306368330464,36118.1669535284
JFK,BOS,0,185.0,4862.9015350928275
JFK,BOS,1,581.0438765670202,24635.02961840474
JFK,BOS,2,459.0391061452514,28921.657458563535
JFK,CLT,0,545.0,7601.796168174561
JFK,CLT,1,806.8496293132928,23280.467992990412
JFK,CLT,2,971.960939167556,36024.089647812165
JFK,DEN,0,1621.0,16840.022504782268
JFK,DEN,1,2032.7262217581513,35553.56539554302
JFK,DEN,2,1863.3057684550222,40251.45623235175
JFK,DFW,0,1380.0,14140.145109161665
JFK,DFW,1,1607.91283766372,30277.63839870929
JFK,DFW,2,1644.7305634683528,46173.19947196554
JFK,DFW,3,1048.0,66240.0
JFK,DTW,0,485.0,7669.675822816134
JFK,DTW,1,792.6127267617837,25800.431539690995
JFK,DTW,2,995.9360465116279,36777.354651162794
JFK,IAD,0,221.0,5361.888355865678
JFK,IAD,1,748.307616471856,25325.067396170107
JFK,IAD,2,874.041537933402,34229.38208032956
JFK,IAD,3,675.0,32629.91935483871
JFK,LAX,0,2457.3359653583752,22074.036782282063
JFK,LAX,1,2796.88688116365,37734.65413157079
JFK,LAX,2,2684.4437781109445,48886.506746626685
JFK,MIA,0,1104.0,11544.883357825129
JFK,MIA,1,1370.650452731567,28107.383337405325
JFK,MIA,2,1500.171749598716,38259.05296950241
JFK,OAK,1,2817.9055208969785,38180.06013441811
JFK,OAK,2,3121.2037942271877,55517.376133984646
JFK,ORD,0,720.0,10192.566580514665
JFK,ORD,1,1026.4471158526874,31048.707498734544
JFK,ORD,2,1080.1926406926407,38368.96103896104
JFK,ORD,3,1131.0,38520.0
JFK,PHL,1,690.7563410159955,24003.609242908133
JFK,PHL,2,720.2307692307693,45027.692307692305
JFK,SFO,0,2566.0,23439.474091623466
JFK,SFO,1,2867.8115867063234,40017.521013836806
JFK,SFO,2,2908.241525423729,50784.40677966102
LAX,ATL,0,1937.9594301493457,15500.651762873986
LAX,ATL,1,2201.7695843092533,31486.728134617293
LAX,ATL,2,2054.518879760189,55685.44640636657
LAX,BOS,0,2606.0,20097.589153168607
LAX,BOS,1,2778.8757847369598,34695.080829166465
LAX,BOS,2,2701.2184585174277,49153.932253313695
LAX,CLT,0,2119.2484726995035,17319.54753722795
LAX,CLT,1,2443.3133639352563,32411.185588290486
LAX,CLT,2,2279.560281065089,43583.69822485207
LAX,CLT,3,1403.0,69180.0
LAX,DEN,0,843.5606761333728,8568.604229185568
LAX,DEN,1,1290.9282507583796,24893.23590548509
LAX,DEN,2,991.2180878552972,32850.94573643411
LAX,DFW,0,1230.3468240042655,11057.404379081381
LAX,DFW,1,1568.7053681016964,26645.525415444772
LAX,DFW,2,1603.029887920299,37293.69863013698
LAX,DTW,0,1985.0,15857.258983890953
LAX,DTW,1,2347.7786119931498,32184.057460427728
LAX,DTW,2,2187.218169761273,48523.16976127321
LAX,EWR,0,2458.0,19279.258144609135
LAX,EWR,1,2631.0622704891643,33561.13904924257
LAX,EWR,2,2705.866666666667,46169.596244131455
LAX,IAD,0,2295.0,17749.667391980107
LAX,IAD,1,2517.3098663248197,32577.202314943166
LAX,IAD,2,2536.3011993663727,46457.05363204345
LAX,JFK,0,2457.257718635283,20002.321259383425
LAX,JFK,1,2896.100258256085,35642.94785345021
LAX,JFK,2,2648.5415549597856,46125.52278820375
LAX,LGA,0,,18691.836734693876
LAX,LGA,1,2653.1663160238604,32846.54482281824
LAX,LGA,2,2631.4141178386044,53757.4135966578
LAX,MIA,0,2339.0,18411.829231692678
LAX,MIA,1,2682.0771271997883,34320.24140516844
LAX,MIA,2,2548.0808388600108,44861.51281591683
LAX,OAK,0,338.0,4752.387775990642
LAX,OAK,1,1460.7870323483555,29421.92400579617
LAX,OAK,2,1439.0798938679245,44925.53950471698
LAX,ORD,0,1745.0,14744.97964997965
LAX,ORD,1,2137.5596870061518,31120.222038272386
LAX,ORD,2,1976.6939890710382,41950.49180327869
LAX,PHL,0,2397.0,18804.159755565255
LAX,PHL,1,2599.6048596156797,34359.11703062673
LAX,PHL,2,2621.9391223733005,47609.3325092707
LAX,PHL,3,2753.5,52080.0
LAX,SFO,0,340.98633272169195,5150.925852811118
LAX,SFO,1,1009.0660357629091,29696.591111551024
LAX,SFO,2,1053.48,44112.0
LGA,ATL,0,762.0,9292.985581930816
LGA,ATL,1,992.9769571499656,24243.98096748612
LGA,ATL,2,793.6666666666666,32316.666666666668
LGA,BOS,0,185.0,5052.204875160367
LGA,BOS,1,767.0565122443827,21405.27341580409
LGA,BOS,2,1035.425219941349,42371.43695014663
LGA,CLT,0,545.0,7681.14210961903
LGA,CLT,1,739.4429934444469,21500.99227125405
LGA,CLT,2,1331.6419437340153,42219.59079283888
LGA,DEN,0,1621.0,15972.044716529146
LGA,DEN,1,1905.6667741966069,30500.902561227707
LGA,DEN,2,1896.1260923845193,42802.69662921348
LGA,DFW,0,1380.0,14198.970575240788
LGA,DFW,1,1573.2168542339314,27578.669273861113
LGA,DFW,2,1636.7586206896551,50244.137931034486
LGA,DTW,0,485.0,7463.196406696611
LGA,DTW,1,789.066501769214,22638.466653233932
LGA,DTW,2,1623.8,51600.0
LGA,IAD,0,221.0,5414.125832273509
LGA,IAD,1,880.47849957925,24066.757994253407
LGA,IAD,2,934.0955016816143,36517.04176008968
LGA,LAX,0,,21695.833333333332
LGA,LAX,1,2608.539792790348,35236.9116634536
LGA,LAX,2,2691.290041771016,55228.509604769264
LGA,MIA,0,1104.0,11785.903361344537
LGA,MIA,1,1377.4677252609488,25552.777007437286
LGA,MIA,2,1391.774193548387,41389.202037351446
LGA,OAK,1,2557.0,39850.54054054054
LGA,OAK,2,2934.7573286911656,51265.47211603144
LGA,OAK,3,2937.6666666666665,65898.97435897436
LGA,ORD,0,720.0,9811.654692931634
LGA,ORD,1,897.4253085268139,27228.373212384875
LGA,ORD,2,1022.52,40062.6
LGA,ORD,3,1021.0,55140.0
LGA,PHL,1,1078.7246318618209,26428.12363880047
LGA,PHL,2,942.8547784303257,35987.314468766686
LGA,SFO,1,2772.092591749725,37559.7054199634
LGA,SFO,2,2868.8960106270015,44766.7855444603
MIA,ATL,0,596.0,7130.117620362316
MIA,ATL,1,1716.87095546524,30623.485500542974
MIA,ATL,2,1419.9333333333334,38312.0
MIA,BOS,0,1260.0,12218.700541441067
MIA,BOS,1,1324.5239184640845,26182.655906393924
MIA,BOS,2,1490.162447257384,47514.556962025315
MIA,BOS,3,1178.0,50010.0
MIA,CLT,0,652.0,7813.042105263158
MIA,CLT,1,1124.050006650297,24085.72784617569
MIA,CLT,2,1669.586046511628,45523.25581395349
MIA,DEN,0,1716.0,15938.829860631986
MIA,DEN,1,2103.0242990925944,31548.080306184114
MIA,DEN,2,1920.6236749116608,42926.840989399294
MIA,DFW,0,1115.0,11627.336574265619
MIA,DFW,1,1431.8102083889733,26616.586942251695
MIA,DFW,2,1497.3684210526317,36540.0
MIA,DFW,3,1555.0,62550.0
MIA,DTW,0,1153.0,11233.650020300447
MIA,DTW,1,1462.8527675296646,26895.303015372487
MIA,DTW,2,1575.8371919342794,45857.16206123973
MIA,EWR,0,1104.0,11087.744813030145
MIA,EWR,1,1419.4779762580804,24838.532554257094
MIA,EWR,2,1522.583187390543,46158.4938704028
MIA,IAD,0,923.0,9050.21838496699
MIA,IAD,1,1203.404276799811,24685.193594466582
MIA,IAD,2,1153.949512534819,40442.23537604457
MIA,JFK,0,1104.0,11008.234380880693
MIA,JFK,1,1405.5014942293462,26174.53543480657
MIA,JFK,2,1513.5844930417495,39180.834990059644
MIA,LAX,0,2339.0,20262.987846304823
MIA,LAX,1,2543.334892371814,35672.83631555751
MIA,LAX,2,2488.034966456597,48059.25594633055
MIA,LGA,0,1104.0,10860.647864625302
MIA,LGA,1,1428.2716465637598,25973.764642482343
MIA,LGA,2,1574.1911069063387,41623.651844843895
MIA,OAK,1,2704.250844266466,40919.039182282795
MIA,OAK,2,3073.968214031586,52503.97781193611
MIA,OAK,3,2747.5245901639346,89688.68852459016
MIA,ORD,0,1192.0,12552.104033448106
MIA,ORD,1,1607.1427685215826,28338.271707519732
MIA,ORD,2,1525.541463414634,47746.53658536585
MIA,ORD,3,1320.0,57240.0
