startingAirport,destinationAirport,flight_hour,segmentsAirlineCode
ATL,OAK,9,NK
ATL,OAK,10,UA
ATL,OAK,11,NK
ATL,OAK,12,UA
ATL,OAK,13,DL
ATL,OAK,14,NK
ATL,OAK,15,UA
ATL,OAK,16,DL
ATL,OAK,17,UA
ATL,OAK,18,DL
ATL,OAK,19,UA
ATL,OAK,20,UA
ATL,OAK,21,DL
ATL,OAK,22,DL
ATL,OAK,23,DL
ATL,ORD,0,DL
ATL,ORD,1,UA
ATL,ORD,2,DL
ATL,ORD,3,DL
ATL,ORD,9,AA
ATL,ORD,10,AA
ATL,ORD,11,DL
ATL,ORD,12,AA
ATL,ORD,13,NK
ATL,ORD,14,AA
ATL,ORD,15,AA
ATL,ORD,16,AA
ATL,ORD,17,DL
ATL,ORD,18,NK
ATL,ORD,19,DL
ATL,ORD,20,AA
ATL,ORD,21,UA
ATL,ORD,22,AA
ATL,ORD,23,UA
ATL,PHL,0,DL
ATL,PHL,1,DL
ATL,PHL,2,DL
ATL,PHL,3,F9
ATL,PHL,9,NK
ATL,PHL,10,UA
ATL,PHL,11,AA
ATL,PHL,12,AA
ATL,PHL,13,NK
ATL,PHL,14,AA
ATL,PHL,15,B6
ATL,PHL,16,AA
ATL,PHL,17,UA
ATL,PHL,18,DL
ATL,PHL,19,NK
ATL,PHL,20,NK
ATL,PHL,21,UA
ATL,PHL,22,DL
ATL,PHL,23,AA
ATL,SFO,0,DL
ATL,SFO,1,DL
ATL,SFO,2,DL
ATL,SFO,3,DL
ATL,SFO,9,UA
ATL,SFO,10,AA
ATL,SFO,11,DL
ATL,SFO,12,DL
ATL,SFO,13,UA
ATL,SFO,14,DL
ATL,SFO,15,DL
ATL,SFO,16,DL
ATL,SFO,17,UA
ATL,SFO,18,DL
ATL,SFO,19,DL
ATL,SFO,20,DL
ATL,SFO,21,DL
ATL,SFO,22,AA
ATL,SFO,23,UA
BOS,ATL,0,DL
BOS,ATL,1,DL
BOS,ATL,2,B6
BOS,ATL,9,AA
BOS,ATL,10,DL
BOS,ATL,11,DL
BOS,ATL,12,DL
BOS,ATL,13,UA
BOS,ATL,14,DL
BOS,ATL,15,UA
BOS,ATL,16,UA
BOS,ATL,17,DL
BOS,ATL,18,AA
BOS,ATL,19,DL
BOS,ATL,20,AA
BOS,ATL,21,DL
BOS,ATL,22,DL
BOS,ATL,23,UA
BOS,CLT,0,DL
BOS,CLT,1,B6
BOS,CLT,9,AA
BOS,CLT,10,AA
BOS,CLT,11,AA
BOS,CLT,12,4B
BOS,CLT,13,AA
BOS,CLT,14,AA
BOS,CLT,15,DL
BOS,CLT,16,DL
BOS,CLT,17,AA
BOS,CLT,18,AA
BOS,CLT,19,AA
BOS,CLT,20,AA
BOS,CLT,21,DL
BOS,CLT,22,AA
BOS,CLT,23,UA
BOS,DEN,0,AA
BOS,DEN,1,UA
BOS,DEN,2,DL
BOS,DEN,9,AA
BOS,DEN,10,DL
BOS,DEN,11,UA
BOS,DEN,12,AA
BOS,DEN,13,UA
BOS,DEN,14,AA
BOS,DEN,15,UA
BOS,DEN,16,DL
BOS,DEN,17,DL
BOS,DEN,18,AA
BOS,DEN,19,UA
BOS,DEN,20,AA
BOS,DEN,21,DL
BOS,DEN,22,UA
BOS,DEN,23,UA
BOS,DFW,0,DL
BOS,DFW,1,DL
BOS,DFW,9,AA
BOS,DFW,10,AA
BOS,DFW,11,AA
BOS,DFW,12,UA
BOS,DFW,13,UA
BOS,DFW,14,DL
BOS,DFW,15,UA
BOS,DFW,16,AA
BOS,DFW,17,DL
BOS,DFW,18,AA
BOS,DFW,19,AA
BOS,DFW,20,AA
BOS,DFW,21,DL
BOS,DFW,22,AA
BOS,DFW,23,AA
BOS,DTW,0,AA
BOS,DTW,1,DL
BOS,DTW,2,DL
BOS,DTW,9,DL
BOS,DTW,10,UA
BOS,DTW,11,UA
BOS,DTW,12,UA
BOS,DTW,13,NK
BOS,DTW,14,AA
BOS,DTW,15,UA
BOS,DTW,16,AA
BOS,DTW,17,DL
BOS,DTW,18,UA
BOS,DTW,19,UA
BOS,DTW,20,AA
BOS,DTW,21,DL
BOS,DTW,22,AA
BOS,DTW,23,UA
BOS,EWR,0,NK
BOS,EWR,1,B6
BOS,EWR,2,DL
BOS,EWR,9,AA
BOS,EWR,10,UA
BOS,EWR,11,AA
